Team, Position, a, b, c, d, e, f, g, h
Manchester City Away,1,19,14,4,1,41,11,30,46
Liverpool Away,2,19,13,4,2,45,17,28,43
Chelsea Away,3,19,12,4,3,39,11,28,40
Tottenham Away,4,19,9,4,6,31,21,10,31
Brighton Away,5,19,7,8,4,23,21,2,29
Arsenal Away,6,19,9,1,9,26,31,-5,28
Wolves Away,7,19,8,3,8,18,18,0,27
West Ham Away,8,19,7,3,9,27,25,2,24
Manchester Utd Away,9,19,6,5,8,25,35,-10,23
Aston Villa Away,10,19,7,1,11,23,25,-2,22
Brentford Away,11,19,6,4,9,26,35,-9,22
Leeds United Away,12,19,5,5,9,23,41,-18,20
Crystal Palace Away,13,19,4,7,8,23,29,-6,19
Newcastle Utd Away,14,19,5,4,10,18,35,-17,19
Leicester City Away,15,19,4,6,9,28,36,-8,18
Watford Away,16,19,4,3,12,17,31,-14,15
Southampton Away,17,19,3,6,10,20,43,-23,15
Burnley Away,18,19,2,8,9,16,28,-12,14
Everton Away,19,19,2,4,13,16,41,-25,10
Norwich City Away,20,19,2,4,13,11,41,-30,10
